Period,PracticeId,Locality,Street,Area,Posttown,County,Postcode,lat,long,PsuPracticeCode,ClusterID,0Period
202006.0,W93001,,ST. LUKE'S SURGERY,(OFF GWYDDON ROAD),ABERCARN NEWBRIDGE,GWENT,NP11 5GX,51.6439,-3.1317,,,
202006.0,W93004,,TUDOR GATE SURGERY,TUDOR STREET,ABERGAVENNY,GWENT,NP7 5DL,51.85129210526316,-3.0386236842105263,,,
202006.0,W93008,,ABERBEEG MEDICAL CENTRE,THE SQUARE,ABERBEEG ABERTILLERY,GWENT,NP13 2AB,51.7298,-3.1343,,,
202006.0,W94635,,GERAFON SURGERY,BENLLECH,YNYS MON,,LL74 8TF,53.3204,-4.2261,,,
202006.0,W93017,,ESSENDENE SURGERY,WORCESTER STREET,BRYNMAWR,GWENT,NP23 4EY,51.7771,-3.2079,,,
202006.0,W93020,,VAUXHALL SURGERY,VAUXHALL LANE,CHEPSTOW,GWENT,NP16 5PZ,51.6409,-2.6768,,,
202006.0,W93025,,LLANYRAVON SURGERY,LLANYRAVON WAY,CWMBRAN,GWENT,NP44 8HW,51.65070000000001,-3.0178,,,
202006.0,W93027,,CWMBRAN VILLAGE SURGERY,VICTORIA STREET,CWMBRAN,GWENT,NP44 3JS,51.65070000000001,-3.0178,,,
202006.0,W93052,,EVESWELL SURGERY,254 CHEPSTOW ROAD,NEWPORT,GWENT,NP19 8NL,51.5888,-2.9638,,,
202006.0,W93055,,TROSNANT LODGE,TROSNANT STREET,PONTYPOOL,GWENT,NP4 8AT,51.718515789473685,-3.030521052631579,,,
202006.0,W93057,,THE SURGERY,OLD ROAD,ABERSYCHAN PONTYPOOL,GWENT,NP4 7BH,51.718515789473685,-3.030521052631579,,,
202006.0,W93059,,WELLSPRING MEDICAL CENTRE,PARK ROAD,RISCA,GWENT,NP11 6BJ,51.6439,-3.1317,,,
202006.0,W93064,,RISCA SURGERY,CHURCH HOUSE FIELD,ST.MARY STREET RISCA,GWENT,NP11 6YS,51.6439,-3.1317,,,
202006.0,W93066,,MALPAS MEDICAL CENTRE,535 MALPAS ROAD,NEWPORT,GWENT,NP20 6WB,51.5877,-2.9984,,,
202006.0,W93069,,THE SURGERY,CROWN STREET,CRUMLIN,GWENT,NP11 4PQ,51.6439,-3.1317,,,
202006.0,W93072,,DIXTON ROAD SURGERY,DIXTON ROAD,MONMOUTH,GWENT,NP25 3PL,51.8127,-2.7136,,,
202006.0,W93074,,KELVEDON CLINIC,5 KELVEDON STREET,NEWPORT,GWENT,NP19 0DW,51.5888,-2.9638,,,
202006.0,W93603,,CENTRAL SURGERY,NORTH STREET,NEWPORT,GWENT,NP20 1HX,51.5877,-2.9984,,,
202006.0,W93611,,NEWBRIDGE MEDICAL CENTRE,HIGH STREET,NEWBRIDGE,GWENT,NP11 4FW,51.6439,-3.1317,,,
202006.0,W93617,,27 CHESTNUT GREEN,UPPER CWMBRAN,GWENT,,NP44 5TH,51.65070000000001,-3.0178,,,
202006.0,W93618,,PONTNEWYNYDD CLINIC,MILL ROAD,PONTNEWYNYDD PONTYPOOL,GWENT,NP4 6NG,51.718515789473685,-3.030521052631579,,,
202006.0,W93619,,CWM HEALTH CENTRE,CANNING STREET,CWM EBBW VALE,GWENT,NP23 7RW,51.7771,-3.2079,,,
202006.0,W93620,,HEALTH CENTRE,PARK ROW,TREDEGAR,GWENT,NP22 3XP,51.7725,-3.2468,,,
202006.0,W93621,,PONTNEWYNYDD CLINIC,MILL ROAD,PONTNEWYNYDD PONTYPOOL,GWENT,NP4 6NG,51.718515789473685,-3.030521052631579,,,
202006.0,W93624,,ST.BRIDES MEDICAL CENTRE,TREDEGAR HOUSE DRIVE,DUFFRYN NEWPORT,GWENT,NP10 8UX,51.5877,-2.9984,,,
202006.0,W93628,,GAER MEDICAL CENTRE,71 GAER ROAD,NEWPORT,GWENT,NP20 3GX,51.5877,-2.9984,,,
202006.0,W93629,,ALWAY HEALTH CENTRE,18 PENKIN CLOSE,NEWPORT,GWENT,NP19 9NT,51.5888,-2.9638,,,
