BNFChapter, ChapterDesc, BNFSection, SectionDesc, BNFSubSection, SubSectionDesc, BNFChemical, ChemicalDesc
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,010101000,Other Preparations                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,010101000,Other Preparations                                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010A0,Alexitol Sodium                                             
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010B0,Almasilate                                                  
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010C0,Aluminium Hydroxide                                         
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010C0,Aluminium Hydroxide                                         
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010D0,Aluminium Hydroxide With Magnesium                          
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010E0,Hydrotalcite                                                
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010E0,Hydrotalcite                                                
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Dimeticone                                     ,0101010F0,Magnesium Carbonate                                         
1,Gastro-Intestinal System                ,101.0,Dyspep&Gastro-Oesophageal Reflux Disease                    ,101010,Antacids and Simeticone                                     ,0101010F0,Magnesium Carbonate                                         
